,Poids (kg),Prix commerce,Total,16/06/2025,4/7/2025,4/7/2025,20/9/2025,21/9/2025,21/9/2025,8/11/2025,8/11/2025,7/11/2025,21/11/2025,8/12/2025,8/12/2025,22/12/2025,24/02/2026,21/03/2026,02/05/2026,02/05/2026,06/06/2026
_ Poids (kg),,,"17,615","0,995","1,045",1,1,1,1,"1,05",1,1,1,1,1,1,1,1,"1,05","1,025",1
_ Prix,"16,84 €",,"296,65 €","15,90 €","15,90 €","15,90 €","15,90 €","15,90 €","15,90 €","15,90 €","15,90 €","15,90 €","15,90 €","15,90 €","15,90 €","15,90 €","17,99 €","17,99 €","17,99 €","17,99 €","17,99 €"
Dessert 70% Cacao Intense,"0,2","4,99",1,,,,,,,,,,,,,,,,,,1
Cooking Extra Fondant,"0,2","4,99",1,,,,,,,,,,,,,,,,1,,
Création caramel,"0,15","4,49",5,1,,,,,,,,,1,1,,1,1,,,,
Création crème brûlée ,"0,15","4,49",3,,,,,,,,,1,,,,,,1,,,1
Création entremets noisette,"0,15","4,49",9,,,,1,1,1,1,1,1,1,1,1,,,,,,
Création Irish coffee ,"0,15","4,49",1,,,,,,1,,,,,,,,,,,,
Création Menthe Frappée,"0,15","4,49",1,,,,,,,,,,,,,,,,,1,
Création praliné feuilleté ,"0,15","4,49",3,,1,,,,,,,,,,,1,1,,,,
Création rocher blanc,"0,15","4,49",1,,,,,,,1,,,,,,,,,,,
Création rocher lait,"0,15","4,49",1,,,,,,,,,,,,1,,,,,,
Création Rocher noir,"0,15","4,49",1,,,,,,,,,,,,,,,1,,,
Excellence 100% noir profond,"0,05","3,49",1,,,,,,,1,,,,,,,,,,,
Excellence Blanc extra velouté ,"0,1","3,39",2,,,,,,,,,,,,,1,,,,1,
Excellence Caramel pointe de sel lait,"0,1","3,39",1,,1,,,,,,,,,,,,,,,,
Excellence Caramel pointe de sel noir,"0,1","3,39",3,,1,,,,1,,1,,,,,,,,,,
Excellence Dark 70% cocoa,"0,1","3,29",9,1,,1,,,1,1,1,,,,,,,1,2,,1
Excellence Dark 85% cocoa,"0,1","3,29",7,1,1,1,,,,1,1,,,,,,,,1,1,
Excellence Doux 85% noir delicat,"0,1","3,29",4,,,1,1,1,,,,,,,,,1,,,,
Excellence Noir 90%,"0,1","3,49",,,,,,,,,,,,,,,,,,,1
Excellence Fusion Noir 70% & Blanc,"0,1","3,99",1,,,,,,,,,,,,,,1,,,,
Excellence Fusion Noir 70% & Lait,"0,1","3,99",1,,,,,,,,,,,,,,,1,,,
Excellence Fusion Noir 85% Fleur de Sel & Lait,"0,1","3,99",1,,,,,,,,,,,,,,1,,,,
Excellence Lait extra fondant,"0,1","3,39",1,,,,,,1,,,,,,,,,,,,
Excellence menthe intense,"0,1","3,39",5,,,,1,,,1,1,,,,,,,1,,1,
Excellence Noir à la pointe de fleur de sel,"0,1","3,29",5,,,,1,1,1,,,,,,,1,,1,,,
Excellence Noir amandes effilées ,"0,1","3,39",3,,,,,,,,,,1,1,1,,,,,,
Excellence Noir aux 3 graines,"0,1","3,39",2,,,,,,,,,,1,1,,,,,,,
Excellence Noir Citron Gingembre,"0,1","3,39",1,,,,,,,,,,,,,,,,1,,
Excellence Noir craquant Pailleté gaufrette,"0,1","3,39",5,,,1,,,,,,,1,1,,,1,,1,,
Excellence Noir craquant Pailleté gaufrette et orange,"0,1","3,39",3,,,,,,,,,,1,1,1,,,,,,
Excellence Noir framboise intense,"0,1","3,39",2,,,,,1,,,,1,,,,,,,,,
Excellence Noir Orange intense,"0,1","3,29",9,1,1,1,2,2,,,,,,,,2,,,,,
Excellence Noir Pistache ,"0,1","3,39",2,,,,,,,,,,,,,1,,,1,,
Excellence Noir sésame grillé,"0,1","3,39",6,2,2,2,,,,,,,,,,,,,,,
Excellence Noir zeste de citron vert,"0,1","3,39",3,,,,,,,,,,1,1,,,1,,,,
Excellence Lait Caramel Pointe de Sel,"0,1",,,,,,,,,,,,,,,,,,,,1
L'authentique amandes effilées ,"0,1","2,59",3,,,,1,1,,,,1,,,,,,,,,
L'authentique lait extra fin,"0,1","2,49",11,1,,,,,2,1,1,1,1,1,1,,1,,,1,
L'authentique lait fleur de sel,"0,1","2,49",6,,,,,,,,,,,,1,,,2,1,,2
L'authentique lait noisettes ,"0,1","2,49",3,,,,,,,,,,,,,1,,1,,1,
L'authentique noir extra fondant,"0,1","2,59",1,,,,,,,,,,,,1,,,,,,
Les grandes 34% noisettes lait,"0,15","6,99",1,,,,,,,,1,,,,,,,,,,
Les grandes Noir Praliné Noisettes,"0,225","6,99",1,,,,,,,,,,,,,,,,,1,
Lindor 70% cacao,"0,145","4,49",2,1,1,,,,,,,,,,,,,,,,
Lindor blanc,"0,1","2,99",2,,,,,,,1,1,,,,,,,,,,
Lindor lait,"0,15","4,49",6,,1,1,1,1,,,,,,,,,,,1,1,
Lindor noir,"0,15","4,49",1,,,1,,,,,,,,,,,,,,,
Lindor Caramel Pointe de sel,"0,15","4,49",,,,,,,,,,,,,,,,,,,1
Lucky monkey lait céréales croustillantes,"0,1","2,99",3,,,,,,,,,2,,,1,,,,,,
Lucky monkey lait fondant pâte de noisette,"0,1","2,99",6,,,,1,1,1,1,1,1,,,,,,,,,
Lucky monkey lait onctueux,"0,1","2,99",8,1,,,,,,1,,1,1,1,1,1,1,,,,